TrainCode,TrainDate,TrainOrigin,TrainDestination,scheduled_hour,scheduled_minute,day_of_week,arrival_delay_minutes
E157,21 Apr 2025,Dublin Connolly,Greystones,0,0,0,957.9
A606,21 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,0,815.8
E156,21 Apr 2025,Dublin Connolly,Greystones,0,0,0,899.7
E259,21 Apr 2025,Dublin Connolly,Bray,0,0,0,918.8
E260,21 Apr 2025,Dublin Connolly,Bray,0,0,0,938.3
A910,21 Apr 2025,Dublin Connolly,Sligo,0,0,0,938.4
D914,21 Apr 2025,Dublin Connolly,Maynooth,0,0,0,923.4
A908,21 Apr 2025,Dublin Connolly,Sligo,0,0,0,827.1
A906,21 Apr 2025,Dublin Connolly,Sligo,0,0,0,742.7
E746,21 Apr 2025,Bray,Dublin Connolly,16,0,0,-2.1
P744,21 Apr 2025,Maynooth,Dublin Connolly,15,54,0,3.2
D913,21 Apr 2025,Dublin Connolly,Maynooth,0,0,0,894.1
E751,20 Apr 2025,Bray,Dublin Connolly,17,0,6,-0.8
E157,20 Apr 2025,Dublin Connolly,Greystones,0,0,6,958.5
P746,20 Apr 2025,Maynooth,Dublin Connolly,16,54,6,1.1
A606,20 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,6,812.2
E156,20 Apr 2025,Dublin Connolly,Greystones,0,0,6,900.2
E750,20 Apr 2025,Bray,Dublin Connolly,16,40,6,1.5
E259,20 Apr 2025,Dublin Connolly,Bray,0,0,6,918.1
E747,20 Apr 2025,Greystones,Dublin Connolly,16,21,6,-2.6
E260,20 Apr 2025,Dublin Connolly,Bray,0,0,6,937.9
P745,20 Apr 2025,Maynooth,Dublin Connolly,16,27,6,4.5
A909,20 Apr 2025,Sligo,Dublin Connolly,16,13,6,-1.3
D914,20 Apr 2025,Dublin Connolly,Maynooth,0,0,6,925.3
A908,20 Apr 2025,Dublin Connolly,Sligo,0,0,6,864.6
A911,20 Apr 2025,Sligo,Dublin Connolly,18,20,6,-3.1
A906,20 Apr 2025,Dublin Connolly,Sligo,0,0,6,765.0
E746,20 Apr 2025,Bray,Dublin Connolly,16,0,6,-1.5
P744,20 Apr 2025,Maynooth,Dublin Connolly,15,54,6,1.0
D913,20 Apr 2025,Dublin Connolly,Maynooth,0,0,6,910.5
E751,19 Apr 2025,Bray,Dublin Connolly,14,52,5,-1.9
P746,19 Apr 2025,Maynooth,Dublin Connolly,10,22,5,-0.4
A606,19 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,5,828.7
E750,19 Apr 2025,Greystones,Dublin Connolly,14,36,5,-2.1
E259,19 Apr 2025,Dublin Connolly,Bray,0,0,5,589.8
E747,19 Apr 2025,Bray,Dublin Connolly,13,52,5,-5.6
E260,19 Apr 2025,Dublin Connolly,Bray,0,0,5,619.7
A910,19 Apr 2025,Dublin Connolly,Sligo,0,0,5,692.2
P745,19 Apr 2025,Maynooth,Dublin Connolly,9,55,5,-0.5
A909,19 Apr 2025,Sligo,Dublin Connolly,16,11,5,1.3
D914,19 Apr 2025,Dublin Connolly,Maynooth,0,0,5,753.4
A908,19 Apr 2025,Dublin Connolly,Sligo,0,0,5,872.0
A911,19 Apr 2025,Sligo,Dublin Connolly,18,18,5,0.0
A906,19 Apr 2025,Dublin Connolly,Sligo,0,0,5,732.2
E746,19 Apr 2025,Greystones,Dublin Connolly,13,36,5,-0.2
P744,19 Apr 2025,Maynooth,Dublin Connolly,9,32,5,0.8
D913,19 Apr 2025,Dublin Connolly,Maynooth,0,0,5,711.5
P746,18 Apr 2025,Maynooth,Dublin Connolly,10,22,4,4.7
A606,18 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,4,834.1
