TrainCode,TrainDate,LocationCode,LocationFullName,ScheduledArrival,ActualArrival,ScheduledDeparture,ActualDeparture,LocationType,TrainOrigin,TrainDestination
P540,31 Mar 2025,CORK,Cork,00:00:00,,23:00:00,,O,Cork,Mallow
P540,31 Mar 2025,CK789,,23:02:30,,23:02:30,,T,Cork,Mallow
P540,31 Mar 2025,RP805,RP805,23:11:30,,23:11:30,,T,Cork,Mallow
P540,31 Mar 2025,MW807,MW807,23:17:00,,23:17:00,,T,Cork,Mallow
P540,31 Mar 2025,KRLYJ,Killarney Junction,23:22:00,,23:22:00,,T,Cork,Mallow
P540,31 Mar 2025,MLLOW,Mallow,23:24:00,,00:00:00,,D,Cork,Mallow
E134,31 Mar 2025,MHIDE,Malahide,00:00:00,22:54:24,23:05:00,,O,Malahide,Bray
E134,31 Mar 2025,PMNCK,Portmarnock,23:09:00,,23:09:30,,S,Malahide,Bray
E134,31 Mar 2025,GRGRD,Clongriffin,23:11:30,,23:12:00,,S,Malahide,Bray
E134,31 Mar 2025,HWTHJ,Howth Junction,23:14:00,,23:14:30,,S,Malahide,Bray
E134,31 Mar 2025,KBRCK,Kilbarrack,23:16:00,,23:16:30,,S,Malahide,Bray
E134,31 Mar 2025,RAHNY,Raheny,23:18:30,,23:19:00,,S,Malahide,Bray
E134,31 Mar 2025,HTOWN,Harmonstown,23:20:30,,23:21:00,,S,Malahide,Bray
E134,31 Mar 2025,KLSTR,Killester,23:22:30,,23:23:00,,S,Malahide,Bray
E134,31 Mar 2025,CTARF,Clontarf Road,23:26:00,,23:26:30,,S,Malahide,Bray
E134,31 Mar 2025,EWALL,,23:28:00,,23:28:00,,T,Malahide,Bray
E134,31 Mar 2025,SUBJN,,23:28:30,,23:28:30,,T,Malahide,Bray
E134,31 Mar 2025,DC336,,23:28:30,,23:28:30,,T,Malahide,Bray
E134,31 Mar 2025,DC343,,23:29:00,,23:29:00,,T,Malahide,Bray
E134,31 Mar 2025,CNLLY,Dublin Connolly,23:31:00,,23:32:00,,S,Malahide,Bray
E134,31 Mar 2025,TARA,Tara Street,23:34:00,,23:35:00,,S,Malahide,Bray
E134,31 Mar 2025,PERSE,Dublin Pearse,23:36:00,,23:37:00,,S,Malahide,Bray
E134,31 Mar 2025,PERSE,Dublin Pearse,23:37:30,,23:37:30,,T,Malahide,Bray
E134,31 Mar 2025,GCDK,Grand Canal Dock,23:38:30,,23:39:30,,S,Malahide,Bray
E134,31 Mar 2025,LDWNE,Lansdowne Road,23:42:00,,23:42:30,,S,Malahide,Bray
E134,31 Mar 2025,SMONT,Sandymount,23:44:00,,23:44:30,,S,Malahide,Bray
E134,31 Mar 2025,SIDNY,Sydney Parade,23:46:30,,23:47:00,,S,Malahide,Bray
E134,31 Mar 2025,BTSTN,Booterstown,23:49:00,,23:49:30,,S,Malahide,Bray
E134,31 Mar 2025,BROCK,Blackrock,23:51:30,,23:52:00,,S,Malahide,Bray
E134,31 Mar 2025,SEAPT,Seapoint,23:53:30,,23:54:00,,S,Malahide,Bray
E134,31 Mar 2025,SHILL,Salthill and Monkstown,23:55:30,,23:56:00,,S,Malahide,Bray
E134,31 Mar 2025,DLERY,Dun Laoghaire,23:58:00,,23:58:30,,S,Malahide,Bray
E134,31 Mar 2025,SCOVE,Sandycove,00:01:30,,00:02:00,,S,Malahide,Bray
E134,31 Mar 2025,GLGRY,Glenageary,00:04:00,,00:04:30,,S,Malahide,Bray
E134,31 Mar 2025,DLKEY,Dalkey,00:06:30,,00:07:00,,S,Malahide,Bray
E134,31 Mar 2025,KILNY,Killiney,00:11:00,,00:11:30,,S,Malahide,Bray
E134,31 Mar 2025,SKILL,Shankill,00:14:00,,00:14:30,,S,Malahide,Bray
E134,31 Mar 2025,BRAY,Bray,00:20:00,,00:00:00,,D,Malahide,Bray
A730,31 Mar 2025,HSTON,Dublin Heuston,00:00:00,,20:30:00,,O,Dublin Heuston,Galway
A730,31 Mar 2025,IBJCT,Islandbridge Junction,20:32:00,,20:32:00,,T,Dublin Heuston,Galway
A730,31 Mar 2025,ICADV,Inchicore Advance Starter,20:34:30,20:35:24,20:34:30,20:44:42,T,Dublin Heuston,Galway
A730,31 Mar 2025,HK101,HK101,20:35:00,,20:35:00,,T,Dublin Heuston,Galway
A730,31 Mar 2025,PWESF,Park West and Cherry Orchard,20:36:00,20:46:42,20:36:00,20:47:12,T,Dublin Heuston,Galway
A730,31 Mar 2025,CLONF,Clondalkin,20:37:00,20:47:30,20:37:00,20:48:12,T,Dublin Heuston,Galway
A730,31 Mar 2025,KISHF,Kishoge,20:37:30,20:48:42,20:37:30,20:48:54,T,Dublin Heuston,Galway
A730,31 Mar 2025,ADAMF,Adamstown,20:39:00,20:50:00,20:39:00,20:50:12,T,Dublin Heuston,Galway
A730,31 Mar 2025,HAZEF,Hazelhatch,20:40:30,20:51:54,20:40:30,20:52:00,T,Dublin Heuston,Galway
A730,31 Mar 2025,HK151,HK151,20:41:00,,20:41:00,,T,Dublin Heuston,Galway
A730,31 Mar 2025,HK157,HK157,20:43:30,,20:43:30,,T,Dublin Heuston,Galway
A730,31 Mar 2025,SALNS,Sallins,20:45:30,20:56:48,20:45:30,20:57:18,T,Dublin Heuston,Galway
A730,31 Mar 2025,HK177,HK177,20:48:00,,20:48:00,,T,Dublin Heuston,Galway
A730,31 Mar 2025,NBRGE,Newbridge,20:50:30,21:05:18,20:50:30,21:05:48,T,Dublin Heuston,Galway
A730,31 Mar 2025,CURAH,Curragh,20:52:30,,20:52:30,,T,Dublin Heuston,Galway
